alpha-1-B glycoprotein	A1BG
TCF3 fusion partner	TFPT
transferrin receptor 2	TFR2
transferrin receptor	TFRC
thyroglobulin	TG
testicular germ cell tumor susceptibility 1	TGCT1
TDP-glucose 4,6-dehydratase	TGDS
transforming growth factor alpha	TGFA
TGFA intronic transcript 1	TGFA-IT1
transforming growth factor beta 1	TGFB1
transforming growth factor beta 1 induced transcript 1	TGFB1I1
transforming growth factor beta 2	TGFB2
TGFB2 antisense RNA 1 (head to head)	TGFB2-AS1
TGFB2 overlapping transcript 1	TGFB2-OT1
transforming growth factor beta 3	TGFB3
TGFB3 antisense RNA 1	TGFB3-AS1
transforming growth factor beta induced	TGFBI
transforming growth factor beta receptor 1	TGFBR1
transforming growth factor beta receptor 2	TGFBR2
transforming growth factor beta receptor 3	TGFBR3
transforming growth factor beta receptor 3 like	TGFBR3L
transforming growth factor beta receptor associated protein 1	TGFBRAP1
TGFB induced factor homeobox 1	TGIF1
TGFB induced factor homeobox 1 pseudogene 1	TGIF1P1
TGFB induced factor homeobox 2	TGIF2
TGIF2-RAB5IF readthrough	TGIF2-RAB5IF
TGFB induced factor homeobox 2 like X-linked	TGIF2LX
TGFB induced factor homeobox 2 like Y-linked	TGIF2LY
TGFB induced factor homeobox 2 pseudogene 1	TGIF2P1
transglutaminase 1	TGM1
transglutaminase 2	TGM2
transglutaminase 3	TGM3
transglutaminase 4	TGM4
transglutaminase 5	TGM5
transglutaminase 6	TGM6
transglutaminase 7	TGM7
trans-golgi network protein 2	TGOLN2
trimethylguanosine synthase 1	TGS1
tyrosine hydroxylase	TH
T helper type 2 locus control region associated RNA	TH2LCRR
threonine aldolase 1, pseudogene	THA1P
THADA armadillo repeat containing	THADA
THAP domain containing 1	THAP1
THAP domain containing 2	THAP2
THAP domain containing 3	THAP3
THAP domain containing 4	THAP4
THAP domain containing 5	THAP5
THAP domain containing 5 pseudogene 1	THAP5P1
THAP domain containing 5 pseudogene 2	THAP5P2
THAP domain containing 6	THAP6
THAP domain containing 7	THAP7
THAP7 antisense RNA 1	THAP7-AS1
THAP domain containing 8	THAP8
THAP domain containing 9	THAP9
THAP9 antisense RNA 1	THAP9-AS1
THAP domain containing 10	THAP10
THAP domain containing 11	THAP11
THAP domain containing 12	THAP12
THAP domain containing 12 pseudogene 1	THAP12P1
THAP domain containing 12 pseudogene 2	THAP12P2
THAP domain containing 12 pseudogene 3	THAP12P3
THAP domain containing 12 pseudogene 4	THAP12P4
THAP domain containing 12 pseudogene 5	THAP12P5
THAP domain containing 12 pseudogene 6	THAP12P6
THAP domain containing 12 pseudogene 7	THAP12P7
THAP domain containing 12 pseudogene 8	THAP12P8
THAP domain containing 12 pseudogene 9	THAP12P9
THAP domain containing 12 pseudogene 10	THAP12P10
thoracoabdominal syndrome	THAS
thrombomodulin	THBD
thrombospondin 1	THBS1
thrombospondin 2	THBS2
thrombospondin 3	THBS3
thrombospondin 4	THBS4
theg spermatid protein	THEG
theg spermatid protein like	THEGL
thioesterase superfamily member 4	THEM4
thioesterase superfamily member 4 pseudogene 1	THEM4P1
thioesterase superfamily member 5	THEM5
thioesterase superfamily member 6	THEM6
thioesterase superfamily member 7, pseudogene	THEM7P
thymocyte selection associated	THEMIS
thymocyte selection associated family member 2	THEMIS2
thymocyte selection associated family member 3, pseudogene	THEMIS3P
tRNA-histidine guanylyltransferase 1 like	THG1L
thymoma	THM
threonine synthase like 1	THNSL1
threonine synthase like 2	THNSL2
THO complex 1	THOC1
THO complex 2	THOC2
THO complex 3	THOC3
THO complex 5	THOC5
THO complex 6	THOC6
THO complex 7	THOC7
THOC7 antisense RNA 1	THOC7-AS1
thimet oligopeptidase 1	THOP1
testis associated oncogenic lncRNA	THORLNC
thrombopoietin	THPO
thyroid hormone receptor alpha	THRA
thyroid hormone receptor associated protein 3	THRAP3
thyroid hormone receptor associated protein 3 pseudogene 1	THRAP3P1
thyroid hormone receptor beta	THRB
THRB antisense RNA 1	THRB-AS1
THRB intronic transcript 1	THRB-IT1
TNF and HNRNPL related immunoregulatory long non-coding RNA	THRIL
thyroid hormone responsive	THRSP
thrombospondin type 1 domain containing 1	THSD1
thrombospondin type 1 domain containing 1 pseudogene 1	THSD1P1
thrombospondin type 1 domain containing 4	THSD4
THSD4 antisense RNA 1	THSD4-AS1
THSD4 antisense RNA 2	THSD4-AS2
thrombospondin type 1 domain containing 7A	THSD7A
thrombospondin type 1 domain containing 7B	THSD7B
thrombospondin type 1 domain containing 8	THSD8
thiamine triphosphatase	THTPA
THUMP domain containing 1	THUMPD1
THUMP domain containing 1 pseudogene 1	THUMPD1P1
THUMP domain containing 2	THUMPD2
THUMP domain containing 3	THUMPD3
THUMPD3 antisense RNA 1	THUMPD3-AS1
THUMP domain containing 3 pseudogene 1	THUMPD3P1
Thy-1 cell surface antigen	THY1
thymocyte nuclear protein 1	THYN1
TIA1 cytotoxic granule associated RNA binding protein	TIA1
TGFB1-induced anti-apoptotic factor 1	TIAF1
TIA1 cytotoxic granule associated RNA binding protein like 1	TIAL1
T cell lymphoma invasion and metastasis 1	TIAM1
T cell lymphoma invasion and metastasis 2	TIAM2
toll like receptor adaptor molecule 1	TICAM1
toll like receptor adaptor molecule 2	TICAM2
TOPBP1 interacting checkpoint and replication regulator	TICRR
tyrosine kinase with immunoglobulin like and EGF like domains 1	TIE1
TRAF interacting protein with forkhead associated domain	TIFA
TIFA inhibitor	TIFAB
TP53 induced glycolysis regulatory phosphatase	TIGAR
tigger transposable element derived 1	TIGD1
tigger transposable element derived 2	TIGD2
tigger transposable element derived 3	TIGD3
tigger transposable element derived 4	TIGD4
tigger transposable element derived 5	TIGD5
tigger transposable element derived 6	TIGD6
tigger transposable element derived 7	TIGD7
T cell immunoreceptor with Ig and ITIM domains	TIGIT
T cell immunoglobulin and mucin domain containing 4	TIMD4
timeless circadian regulator	TIMELESS
translocase of inner mitochondrial membrane 8A	TIMM8A
translocase of inner mitochondrial membrane 8A pseudogene 1	TIMM8AP1
translocase of inner mitochondrial membrane 8 homolog B	TIMM8B
translocase of inner mitochondrial membrane 8B pseudogene 1	TIMM8BP1
translocase of inner mitochondrial membrane 8B pseudogene 2	TIMM8BP2
translocase of inner mitochondrial membrane 9	TIMM9
TIMM9 pseudogene 1	TIMM9P1
TIMM9 pseudogene 2	TIMM9P2
TIMM9 pseudogene 3	TIMM9P3
translocase of inner mitochondrial membrane 10	TIMM10
translocase of inner mitochondrial membrane 10B	TIMM10B
translocase of inner mitochondrial membrane 13	TIMM13
translocase of inner mitochondrial membrane 17A	TIMM17A
translocase of inner mitochondrial membrane 17B	TIMM17B
translocase of inner mitochondrial membrane 17B pseudogene 1	TIMM17BP1
translocase of inner mitochondrial membrane 21	TIMM21
translocase of inner mitochondrial membrane 22	TIMM22
translocase of inner mitochondrial membrane 23	TIMM23
translocase of inner mitochondrial membrane 23 homolog B	TIMM23B
translocase of inner mitochondrial membrane 29	TIMM29
translocase of inner mitochondrial membrane 44	TIMM44
translocase of inner mitochondrial membrane 50	TIMM50
translocase of inner mitochondrial membrane domain containing 1	TIMMDC1
TIMP metallopeptidase inhibitor 1	TIMP1
TIMP metallopeptidase inhibitor 2	TIMP2
TIMP metallopeptidase inhibitor 3	TIMP3
TIMP metallopeptidase inhibitor 4	TIMP4
tubulointerstitial nephritis antigen	TINAG
tubulointerstitial nephritis antigen like 1	TINAGL1
TINCR ubiquitin domain containing	TINCR
TERF1 interacting nuclear factor 2	TINF2
TCDD inducible poly(ADP-ribose) polymerase	TIPARP
TIPARP antisense RNA 1	TIPARP-AS1
TIMELESS interacting protein	TIPIN
TOR signaling pathway regulator	TIPRL
TIR domain containing adaptor protein	TIRAP
tight junction associated protein 1	TJAP1
tight junction protein 1	TJP1
tight junction protein 1 pseudogene 1	TJP1P1
tight junction protein 2	TJP2
tight junction protein 3	TJP3
thymidine kinase 1	TK1
thymidine kinase 2	TK2
torticollis, keloids, cryptorchidism and renal dysplasia	TKCR
triokinase and FMN cyclase	TKFC
transketolase	TKT
transketolase like 1	TKTL1
transketolase like 2	TKTL2
TLC domain containing 1	TLCD1
TLC domain containing 2	TLCD2
TBC/LysM-associated domain containing 2	TLDC2
TLE family member 1, transcriptional corepressor	TLE1
TLE family member 1 pseudogene 1	TLE1P1
TLE family member 2, transcriptional corepressor	TLE2
TLE family member 3, transcriptional corepressor	TLE3
TLE family member 4, transcriptional corepressor	TLE4
TLE family member 5, transcriptional modulator	TLE5
TLE family member 6, subcortical maternal complex member	TLE6
TLE family member 7	TLE7
tousled like kinase 1	TLK1
tousled like kinase 1 pseudogene 1	TLK1P1
tousled like kinase 2	TLK2
tousled like kinase 2 pseudogene 1	TLK2P1
tousled like kinase 2 pseudogene 2	TLK2P2
tolloid like 1	TLL1
tolloid like 2	TLL2
talin 1	TLN1
talin 2	TLN2
talin rod domain containing 1	TLNRD1
toll like receptor 1	TLR1
toll like receptor 2	TLR2
toll like receptor 3	TLR3
toll like receptor 4	TLR4
toll like receptor 5	TLR5
toll like receptor 6	TLR6
toll like receptor 7	TLR7
toll like receptor 8	TLR8
TLR8 antisense RNA 1	TLR8-AS1
toll like receptor 9	TLR9
toll like receptor 10	TLR10
toll like receptor 12, pseudogene	TLR12P
T cell leukemia homeobox 1	TLX1
TLX1 neighbor	TLX1NB
T cell leukemia homeobox 2	TLX2
T cell leukemia homeobox 3	TLX3
TM2 domain containing 1	TM2D1
TM2 domain containing 2	TM2D2
TM2 domain containing 3	TM2D3
transmembrane 4 L six family member 1	TM4SF1
TM4SF1 antisense RNA 1	TM4SF1-AS1
transmembrane 4 L six family member 4	TM4SF4
transmembrane 4 L six family member 5	TM4SF5
transmembrane 4 L six family member 18	TM4SF18
transmembrane 4 L six family member 19	TM4SF19
TM4SF19 antisense RNA 1	TM4SF19-AS1
TM4SF19-TCTEX1D2 readthrough (NMD candidate)	TM4SF19-TCTEX1D2
transmembrane 4 L six family member 20	TM4SF20
transmembrane 6 superfamily member 1	TM6SF1
transmembrane 6 superfamily member 2	TM6SF2
transmembrane 7 superfamily member 2	TM7SF2
transmembrane 7 superfamily member 3	TM7SF3
transmembrane 9 superfamily member 1	TM9SF1
transmembrane 9 superfamily member 2	TM9SF2
transmembrane 9 superfamily member 3	TM9SF3
transmembrane 9 superfamily member 4	TM9SF4
translation machinery associated 7 homolog	TMA7
translation machinery associated 16 homolog	TMA16
translation machinery associated 16 homolog pseudogene 1	TMA16P1
translation machinery associated 16 homolog pseudogene 2	TMA16P2
transmembrane BAX inhibitor motif containing 1	TMBIM1
transmembrane BAX inhibitor motif containing 4	TMBIM4
transmembrane BAX inhibitor motif containing 6	TMBIM6
transmembrane BAX inhibitor motif containing 7, pseudogene	TMBIM7P
transmembrane channel like 1	TMC1
transmembrane channel like 2	TMC2
transmembrane channel like 3	TMC3
TMC3 antisense RNA 1	TMC3-AS1
transmembrane channel like 4	TMC4
transmembrane channel like 5	TMC5
transmembrane channel like 6	TMC6
transmembrane channel like 7	TMC7
transmembrane channel like 8	TMC8
transmembrane and coiled-coil domain family 1	TMCC1
TMCC1 antisense RNA 1 (head to head)	TMCC1-AS1
transmembrane and coiled-coil domain family 1 pseudogene 1	TMCC1P1
transmembrane and coiled-coil domain family 2	TMCC2
transmembrane and coiled-coil domain family 3	TMCC3
transmembrane and coiled-coil domains 1	TMCO1
TMCO1 antisense RNA 1	TMCO1-AS1
transmembrane and coiled-coil domains 2	TMCO2
transmembrane and coiled-coil domains 3	TMCO3
transmembrane and coiled-coil domains 4	TMCO4
transmembrane and coiled-coil domains 5A	TMCO5A
transmembrane and coiled-coil domains 5B (pseudogene)	TMCO5B
transmembrane and coiled-coil domains 6	TMCO6
transmembrane p24 trafficking protein 1	TMED1
transmembrane p24 trafficking protein 2	TMED2
transmembrane p24 trafficking protein 3	TMED3
transmembrane p24 trafficking protein 4	TMED4
transmembrane p24 trafficking protein 5	TMED5
transmembrane p24 trafficking protein 6	TMED6
transmembrane p24 trafficking protein 7	TMED7
TMED7-TICAM2 readthrough	TMED7-TICAM2
transmembrane p24 trafficking protein family member 8	TMED8
transmembrane p24 trafficking protein 9	TMED9
transmembrane p24 trafficking protein 10	TMED10
transmembrane p24 trafficking protein 10 pseudogene 1	TMED10P1
transmembrane p24 trafficking protein 10 pseudogene 2	TMED10P2
transmembrane p24 trafficking protein 11, pseudogene	TMED11P
transmembrane protein with EGF like and two follistatin like domains 1	TMEFF1
transmembrane protein with EGF like and two follistatin like domains 2	TMEFF2
transmembrane protein 8A	TMEM8A
transmembrane protein 8B	TMEM8B
transmembrane protein 9	TMEM9
TMEM9 domain family member B	TMEM9B
TMEM9B antisense RNA 1	TMEM9B-AS1
transmembrane protein 11	TMEM11
transmembrane protein 14A	TMEM14A
transmembrane protein 14B	TMEM14B
transmembrane protein 14C	TMEM14C
transmembrane protein 14D, pseudogene	TMEM14DP
transmembrane protein 14E, pseudogene	TMEM14EP
transmembrane protein 17	TMEM17
transmembrane protein 18	TMEM18
transmembrane protein 19	TMEM19
transmembrane protein 25	TMEM25
transmembrane protein 26	TMEM26
TMEM26 antisense RNA 1	TMEM26-AS1
transmembrane protein 30A	TMEM30A
transmembrane protein 30B	TMEM30B
transmembrane protein 30C, pseudogene	TMEM30CP
transmembrane protein 31	TMEM31
transmembrane protein 33	TMEM33
transmembrane protein 35A	TMEM35A
transmembrane protein 35B	TMEM35B
transmembrane protein 37	TMEM37
transmembrane protein 38A	TMEM38A
transmembrane protein 38B	TMEM38B
transmembrane protein 39A	TMEM39A
transmembrane protein 39B	TMEM39B
transmembrane protein 40	TMEM40
transmembrane protein 41A	TMEM41A
transmembrane protein 41B	TMEM41B
transmembrane protein 42	TMEM42
transmembrane protein 43	TMEM43
transmembrane protein 44	TMEM44
TMEM44 antisense RNA 1	TMEM44-AS1
transmembrane protein 45A	TMEM45A
transmembrane protein 45B	TMEM45B
transmembrane protein 47	TMEM47
transmembrane protein 50A	TMEM50A
transmembrane protein 50B	TMEM50B
transmembrane protein 51	TMEM51
TMEM51 antisense RNA 1	TMEM51-AS1
transmembrane protein 52	TMEM52
transmembrane protein 52B	TMEM52B
transmembrane protein 53	TMEM53
transmembrane protein 54	TMEM54
transmembrane protein 56	TMEM56
TMEM56-RWDD3 readthrough	TMEM56-RWDD3
transmembrane protein 59	TMEM59
transmembrane protein 59 like	TMEM59L
transmembrane protein 60	TMEM60
transmembrane protein 61	TMEM61
transmembrane protein 62	TMEM62
transmembrane protein 63A	TMEM63A
transmembrane protein 63B	TMEM63B
transmembrane protein 63C	TMEM63C
transmembrane protein 64	TMEM64
transmembrane protein 65	TMEM65
transmembrane protein 67	TMEM67
transmembrane protein 68	TMEM68
transmembrane protein 69	TMEM69
transmembrane protein 70	TMEM70
transmembrane protein 71	TMEM71
transmembrane protein 72	TMEM72
TMEM72 antisense RNA 1	TMEM72-AS1
transmembrane protein 74	TMEM74
transmembrane protein 74B	TMEM74B
transmembrane protein 75	TMEM75
transmembrane protein 78	TMEM78
transmembrane protein 79	TMEM79
transmembrane protein 80	TMEM80
transmembrane protein 81	TMEM81
transmembrane protein 82	TMEM82
transmembrane protein 86A	TMEM86A
transmembrane protein 86B	TMEM86B
transmembrane protein 87A	TMEM87A
transmembrane protein 87B	TMEM87B
transmembrane protein 88	TMEM88
transmembrane protein 88B	TMEM88B
transmembrane protein 89	TMEM89
transmembrane protein 91	TMEM91
transmembrane protein 92	TMEM92
TMEM92 antisense RNA 1	TMEM92-AS1
transmembrane protein 94	TMEM94
transmembrane protein 95	TMEM95
transmembrane protein 97	TMEM97
transmembrane protein 97 pseudogene 1	TMEM97P1
transmembrane protein 97 pseudogene 2	TMEM97P2
transmembrane protein 98	TMEM98
transmembrane protein 99	TMEM99
transmembrane protein 100	TMEM100
transmembrane protein 101	TMEM101
transmembrane protein 102	TMEM102
transmembrane protein 104	TMEM104
TMEM105 long non-coding RNA	TMEM105
transmembrane protein 106A	TMEM106A
transmembrane protein 106B	TMEM106B
transmembrane protein 106C	TMEM106C
transmembrane protein 107	TMEM107
transmembrane protein 108	TMEM108
TMEM108 antisense RNA 1	TMEM108-AS1
transmembrane protein 109	TMEM109
transmembrane protein 114	TMEM114
transmembrane protein 115	TMEM115
transmembrane protein 116	TMEM116
transmembrane protein 117	TMEM117
transmembrane protein 119	TMEM119
transmembrane protein 120A	TMEM120A
transmembrane protein 120B	TMEM120B
transmembrane protein 121	TMEM121
transmembrane protein 121B	TMEM121B
transmembrane protein 123	TMEM123
transmembrane protein 125	TMEM125
transmembrane protein 126A	TMEM126A
transmembrane protein 126B	TMEM126B
transmembrane protein 127	TMEM127
transmembrane protein 128	TMEM128
transmembrane protein 129	TMEM129
transmembrane protein 130	TMEM130
transmembrane protein 131	TMEM131
transmembrane 131 like	TMEM131L
transmembrane protein 132A	TMEM132A
transmembrane protein 132B	TMEM132B
transmembrane protein 132C	TMEM132C
transmembrane protein 132D	TMEM132D
TMEM132D antisense RNA 1	TMEM132D-AS1
TMEM132D antisense RNA 2	TMEM132D-AS2
transmembrane protein 132E	TMEM132E
transmembrane protein 134	TMEM134
transmembrane protein 135	TMEM135
transmembrane protein 136	TMEM136
transmembrane protein 138	TMEM138
transmembrane protein 139	TMEM139
transmembrane protein 140	TMEM140
transmembrane protein 141	TMEM141
transmembrane protein 143	TMEM143
transmembrane protein 144	TMEM144
transmembrane protein 145	TMEM145
transmembrane protein 147	TMEM147
TMEM147 antisense RNA 1	TMEM147-AS1
transmembrane protein 150A	TMEM150A
transmembrane protein 150B	TMEM150B
transmembrane protein 150C	TMEM150C
transmembrane protein 151A	TMEM151A
transmembrane protein 151B	TMEM151B
transmembrane protein 154	TMEM154
transmembrane protein 155	TMEM155
transmembrane protein 156	TMEM156
transmembrane protein 158 (gene/pseudogene)	TMEM158
transmembrane protein 159	TMEM159
transmembrane protein 160	TMEM160
transmembrane protein 161A	TMEM161A
transmembrane protein 161B	TMEM161B
TMEM161B antisense RNA 1	TMEM161B-AS1
transmembrane protein 161B pseudogene 1	TMEM161BP1
transmembrane protein 163	TMEM163
transmembrane protein 164	TMEM164
transmembrane protein 165	TMEM165
transmembrane protein 167A	TMEM167A
transmembrane protein 167A pseudogene 1	TMEM167AP1
transmembrane protein 167B	TMEM167B
transmembrane protein 168	TMEM168
transmembrane protein 169	TMEM169
transmembrane protein 170A	TMEM170A
transmembrane protein 170B	TMEM170B
transmembrane protein 171	TMEM171
transmembrane protein 173	TMEM173
transmembrane protein 174	TMEM174
transmembrane protein 175	TMEM175
transmembrane protein 176A	TMEM176A
transmembrane protein 176B	TMEM176B
transmembrane protein 177	TMEM177
transmembrane protein 178A	TMEM178A
transmembrane protein 178B	TMEM178B
transmembrane protein 179	TMEM179
transmembrane protein 179B	TMEM179B
transmembrane protein 181	TMEM181
transmembrane protein 182	TMEM182
transmembrane protein 183A	TMEM183A
transmembrane protein 183A pseudogene 1	TMEM183AP1
transmembrane protein 183B	TMEM183B
transmembrane protein 184A	TMEM184A
transmembrane protein 184B	TMEM184B
transmembrane protein 184C	TMEM184C
transmembrane protein 185A	TMEM185A
