Abnormality of body height	Abnormality of body height
Failed liver development	Hepatic agenesis
Liver agenesis	Hepatic agenesis
Absence of eyebrow	Aplasia/Hypoplasia of the eyebrow
Agenesis of eyebrow	Aplasia/Hypoplasia of the eyebrow
Hypotrophic eyebrow	Aplasia/Hypoplasia of the eyebrow
Lack of eyebrow	Aplasia/Hypoplasia of the eyebrow
Missing eyebrow	Aplasia/Hypoplasia of the eyebrow
Sparse or absent eyebrows	Aplasia/Hypoplasia of the eyebrow
Sparse to absent eyebrows	Aplasia/Hypoplasia of the eyebrow
Sparse/absent eyebrows	Aplasia/Hypoplasia of the eyebrow
De Morsier syndrome	Septo-optic dysplasia
Anaphylaxis	Anaphylactic shock
Palmoplantar pustules	Palmoplantar pustulosis
Pustulosis of palms and soles	Palmoplantar pustulosis
Pustulosis palmaris et plantaris	Palmoplantar pustulosis
Neoplasia of the male external genitalia	Neoplasm of the male external genitalia
Neoplasia of the scrotum	Neoplasm of the scrotum
Scrotum tumor	Neoplasm of the scrotum
Neoplasia of the penis	Neoplasm of the penis
Penis tumor	Neoplasm of the penis
Abnormal emotion/affect behaviour	Abnormal emotion/affect behavior
Hypoplastic areolae	Hypoplastic areola
Absent musculature	Aplasia of the musculature
Small triceps	Triceps hypoplasia
Underdeveloped triceps	Triceps hypoplasia
Celiac artery aneurysm	Dilatation of celiac artery
Superior mesenteric artery aneurysm	Dilatation of superior mesenteric artery
Inferior mesenteric artery aneurysm	Dilatation of Inferior mesenteric artery
Vertebral body sclerosis	Sclerotic vertebral body
Absent femoral head	Aplasia of the femoral head
Absent neck of thighbone	Aplasia of the femoral neck
Hypoplasia of the femoral neck	Short femoral neck
Hypoplastic femoral neck	Short femoral neck
Short femoral necks	Short femoral neck
Short neck of thighbone	Short femoral neck
Short pelvis bones	Short iliac bones
Duodenal stenosis/atresia	Duodenal stenosis
Telangiectases of palms and soles	Palmar telangiectasia
Teleangiectases of palms	Palmar telangiectasia
Plantar teleangiectasia	Plantar telangiectasia
Telangiectases of soles	Plantar telangiectasia
Teleangiectases of soles	Plantar telangiectasia
Abnormality of the palm	Abnormality of the palm
Minor feet anomalies	Abnormality of the plantar skin of foot
Increased follicular density	Thick hair
Increased hair density	Thick hair
Thick hair	Thick hair
Hemiglossal hyperplasia	Hemimacroglossia
Hemiglossal hypertrophy	Hemimacroglossia
Hyperplasia of half of the tongue	Hemimacroglossia
Hypertrophy of half of the tongue	Hemimacroglossia
Increased size of half of the tongue	Hemimacroglossia
Large half of tongue	Hemimacroglossia
Crease in skin under the eye	Infra-orbital crease
Groove in skin under the eye	Infra-orbital crease
Infraorbital crease	Infra-orbital crease
Infraorbital creases	Infra-orbital crease
Underorbital skin creases	Infra-orbital crease
Caliceal diverticulum	Renal diverticulum
Pelvic diverticulum	Renal diverticulum
Renal pelvic diverticulum	Renal diverticulum
Enlarged uterus	Enlarged uterus
Enlarged ovaries	Enlarged ovaries
Fibrous hamartoma of infancy	Fibrous hamartoma
Lateral marginal vein of Servelle	Lateral venous anomaly
Vein of servelle	Lateral venous anomaly
Abnormality of eyeball location	Abnormality of globe location
Abnormality of eyeball position	Abnormality of globe location
Abnormality of globe position	Abnormality of globe location
Abnormality of eyeball size	Abnormality of globe size
Eye size difference	Abnormality of globe size
Abnormality of the common bile duct	Abnormality of the ductus choledochus
Choledochal cyst	Cyst of the ductus choledochus
Bifid xiphisternum	Bifid xiphoid process
Prominent xiphisternum	Prominent xiphoid process
Broad xiphisternum	Broad xiphoid process
Multiple rectal polyps	Rectal polyposis
Rectal polyps	Rectal polyposis
Increased bone density in the finger bone	Sclerosis of finger phalanx
Sclerosis of the phalanges of the hand	Sclerosis of finger phalanx
Increased bone density in the outermost bone of the index finger	Sclerosis of the distal phalanx of the 2nd finger
Increased bone density in the outermost bone of the middle finger	Sclerosis of the distal phalanx of the 3rd finger
Increased bone density in the outermost bone of the ring finger	Sclerosis of the distal phalanx of the 4th finger
Increased bone density in the outermost little finger bone	Sclerosis of the distal phalanx of the 5th finger
Increased bone density in the outermost pinkie finger bone	Sclerosis of the distal phalanx of the 5th finger
Increased bone density in the outermost pinky finger bone	Sclerosis of the distal phalanx of the 5th finger
Increased bone density in the middle bone of the index finger	Sclerosis of the middle phalanx of the 2nd finger
Increased bone density in the middle bone of the middle finger	Sclerosis of the middle phalanx of the 3rd finger
Increased bone density in the middle bone of the ring finger	Sclerosis of the middle phalanx of the 4th finger
Increased bone density in the middle bone of the little finger	Sclerosis of the middle phalanx of the 5th finger
Increased bone density in the middle bone of the pinkie finger	Sclerosis of the middle phalanx of the 5th finger
Increased bone density in the middle bone of the pinky finger	Sclerosis of the middle phalanx of the 5th finger
Increased bone density in the innermost bone of the index finger	Sclerosis of the proximal phalanx of the 2nd finger
Increased bone density in innermost bone of the middle finger	Sclerosis of the proximal phalanx of the 3rd finger
Increased bone density in the innermost bone of the ring finger	Sclerosis of the proximal phalanx of the 4th finger
Increased bone density in innermost little finger bone	Sclerosis of the proximal phalanx of the 5th finger
Increased bone density in innermost pinkie finger bone	Sclerosis of the proximal phalanx of the 5th finger
Increased bone density in innermost pinky finger bone	Sclerosis of the proximal phalanx of the 5th finger
Increased bone density in the outermost bone of the thumb	Sclerosis of the distal phalanx of the thumb
Increased bone density in the innermost bone of the thumb	Sclerosis of the proximal phalanx of the thumb
Increased bone density in 1st long bone of hand	Sclerosis of the 1st metacarpal
Increased bone density in outermost finger bone	Sclerosis of distal finger phalanx
Sclerosis of the distal phalanges of the hand	Sclerosis of distal finger phalanx
Increased bone density in middle finger bone of hand	Sclerosis of middle finger phalanx
Sclerosis of the middle phalanges of the hand	Sclerosis of middle finger phalanx
Increased bone density in innermost finger bone	Sclerosis of proximal finger phalanx
Sclerosis of the proximal phalanges of the hand	Sclerosis of proximal finger phalanx
Increased bone density in 2nd finger bone	Sclerosis of 2nd finger phalanx
Sclerosis of the phalanges of the 2nd finger	Sclerosis of 2nd finger phalanx
Increased bone density in middle finger bone	Sclerosis of 3rd finger phalanx
Sclerosis of the phalanges of the 3rd finger	Sclerosis of 3rd finger phalanx
Increased bone density in ring finger bone	Sclerosis of 4th finger phalanx
Sclerosis of the phalanges of the 4th finger	Sclerosis of 4th finger phalanx
Increased bone density in little finger bone	Sclerosis of 5th finger phalanx
Increased bone density in pinkie finger bone	Sclerosis of 5th finger phalanx
Increased bone density in pinky finger bone	Sclerosis of 5th finger phalanx
Sclerosis of the phalanges of the 5th finger	Sclerosis of 5th finger phalanx
Increased bone density in thumb bone	Sclerosis of thumb phalanx
Sclerosis of the phalanges of the thumb	Sclerosis of thumb phalanx
Increased bone density in collarbone	Clavicular sclerosis
Osteosclerosis of the clavicle	Clavicular sclerosis
Osteosclerosis of the clavicles	Clavicular sclerosis
Increased bone density in the toe bone	Sclerosis of toe phalanx
Sclerosis of the phalanges of the toes	Sclerosis of toe phalanx
Increased bone density in foot bone	Sclerosis of foot bone
Sclerosis of bones of the feet	Sclerosis of foot bone
Increased bone density in 2nd toe bone	Sclerosis of 2nd toe phalanx
Sclerosis of the phalanges of the 2nd toe	Sclerosis of 2nd toe phalanx
Increased bone density in 3rd toe bone	Sclerosis of 3rd toe phalanx
Sclerosis of the phalanges of the 3rd toe	Sclerosis of 3rd toe phalanx
Increased bone density in 4th toe bone	Sclerosis of 4th toe phalanx
Sclerosis of the phalanges of the 4th toe	Sclerosis of 4th toe phalanx
Increased bone density in little toe bone	Sclerosis of 5th toe phalanx
Increased bone density in pinkie toe bone	Sclerosis of 5th toe phalanx
Increased bone density in pinky toe bone	Sclerosis of 5th toe phalanx
Sclerosis of the phalanges of the 5th toe	Sclerosis of 5th toe phalanx
Increased bone density in big toe bone	Sclerosis of hallux phalanx
Sclerosis of the phalanges of the hallux	Sclerosis of hallux phalanx
Increased bone density in the innermost bone of the 2nd toe	Sclerosis of the proximal phalanx of the 2nd toe
Increased bone density in the innermost bone of the 3rd toe	Sclerosis of the proximal phalanx of the 3rd toe
Increased bone density in the innermost bone of the 4th toe	Sclerosis of the proximal phalanx of the 4th toe
Increased bone density in the innermost bone of the little toe	Sclerosis of the proximal phalanx of the 5th toe
Increased bone density in the innermost bone of the pinkie toe	Sclerosis of the proximal phalanx of the 5th toe
Increased bone density in the innermost bone of the pinky toe	Sclerosis of the proximal phalanx of the 5th toe
Increased bone density in the middle bone of the 2nd toe	Sclerosis of the middle phalanx of the 2nd toe
Increased bone density in the middle bone of the 3rd toe	Sclerosis of the middle phalanx of the 3rd toe
Increased bone density in the middle bone of the 4th toe	Sclerosis of the middle phalanx of the 4th toe
Increased bone density in the middle bone of the little toe	Sclerosis of the middle phalanx of the 5th toe
Increased bone density in the middle bone of the pinkie toe	Sclerosis of the middle phalanx of the 5th toe
Increased bone density in the middle bone of the pinky toe	Sclerosis of the middle phalanx of the 5th toe
Increased bone density in the outermost bone of the 2nd toe	Sclerosis of the distal phalanx of the 2nd toe
Increased bone density in the outermost bone of the 3rd toe	Sclerosis of the distal phalanx of the 3rd toe
Increased bone density in the outermost bone of the 4th toe	Sclerosis of the distal phalanx of the 4th toe
Increased bone density in the outermost bone of the little toe	Sclerosis of the distal phalanx of the 5th toe
Increased bone density in the outermost bone of the pinkie toe	Sclerosis of the distal phalanx of the 5th toe
Increased bone density in the outermost bone of the pinky toe	Sclerosis of the distal phalanx of the 5th toe
Increased bone density in the innermost bone of the big toe	Sclerosis of the proximal phalanx of the hallux
Increased bone density in the outermost bone of the big toe	Sclerosis of the distal phalanx of the hallux
Increased bone density in the 1st long bone of foot	Sclerosis of the 1st metatarsal
Increased bone density in innermost toe bone	Sclerosis of proximal toe phalanx
Sclerosis of the proximal phalanges of the toes	Sclerosis of proximal toe phalanx
Increased bone density in middle toe bone	Sclerosis of middle toe phalanx
Sclerosis of the middle phalanges of the toes	Sclerosis of middle toe phalanx
Increased bone density in the outermost bone of the toes	Sclerosis of distal toe phalanx
Sclerosis of the distal phalanges of the toes	Sclerosis of distal toe phalanx
Long chain 3 hydroxyacyl coA dehydrogenase deficiency	Decreased activity of 3-hydroxyacyl-CoA dehydrogenase
Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase deficiency	Decreased activity of 3-hydroxyacyl-CoA dehydrogenase
Short-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency	Decreased activity of 3-hydroxyacyl-CoA dehydrogenase
Enlarged basal cistern	Enlarged fossa interpeduncularis
Enlarged interpeduncular cistern	Enlarged fossa interpeduncularis
Enlarged lateral fissure	Enlarged sylvian cistern
Enlarged lateral sulcus	Enlarged sylvian cistern
Enlarged sylvian fissure	Enlarged sylvian cistern
Enlarged great longitudinal fissure	Enlarged interhemispheric fissure
Enlarged longitudinal cerebral fissure	Enlarged interhemispheric fissure
Enlarged longitudinal fissure	Enlarged interhemispheric fissure
Dense metaphyseal lines	Dense metaphyseal bands
Transverse metaphyseal bands	Dense metaphyseal bands
Shyness	Shyness
Hyperaesthesia	Hyperesthesia
Dysharmonic skeletal maturation	Dysharmonic bone age
Splayed end part of bone	Splayed epiphyses
Abnormal morphology of the palpebral fissure	Abnormal shape of the palpebral fissure
Abnormal shape of the opening between the eyelids	Abnormal shape of the palpebral fissure
Slanting of the opening between the eyelids	Slanting of the palpebral fissure
Abnormal size of the eyes	Abnormal size of the palpebral fissures
Abnormal size of the opening between the eyelids	Abnormal size of the palpebral fissures
Gastrointestinal polyps	Intestinal polyposis
Growths in inner lining of intestine	Intestinal polyposis
Multiple intestinal polyps	Intestinal polyposis
Tumor of fatty tissue	Neoplasm of fatty tissue
Acral keratosis	Acrokeratosis
Agenesis of the cerebral white matter	Cerebral white matter agenesis
White matter agenesis	Cerebral white matter agenesis
Colorblindness, partial, protan series	Protanomaly
Red-weak	Protanomaly
Damage to outer layer of the cornea of the eye	Corneal erosion
Down-sloping shoulders	Down-sloping shoulders
Rounded shoulders	Down-sloping shoulders
Rounded, sloping shoulders	Down-sloping shoulders
Sloping shoulders	Down-sloping shoulders
hulseyism	Priapism
Lower jaw pain	Mandibular pain
Eye pain	Ocular pain
Graves dermopathy	Pretibial myxedema
Cutaneous vasculitis	Vasculitis in the skin
Fleischer's ring	Kayser-Fleischer ring
Fleischer-Kayser ring	Kayser-Fleischer ring
Fleischer-Struempell ring	Kayser-Fleischer ring
Papules	Papule
Skin papules	Papule
Growth of abnormal tissue on or under the skin	Skin nodule
Blister	Skin vesicle
