HPO name	Synonyms
Reduced OCT-measured macular thickness	
Increased OCT-measured macular thickness	
Photoreceptor layer loss on macular OCT	
Photoreceptor outer segment loss on macular OCT	
Retinal pigment epithelial loss on macular OCT	
Abnormal retinal morphology on macular OCT	
Abnormal foveal morphology on macular OCT	
Foveal photoreceptor layer loss on macular OCT	
Foveal photoreceptor outer segment loss on macular OCT	
Foveal retinal pigment epithelial loss on macular OCT	
Abnormal OCT-measured foveal thickness	
Increased OCT-measured foveal thickness	
Reduced OCT-measured foveal thickness	
Inner retinal layer loss on macular OCT	
Foveal inner retinal layer loss on macular OCT	
Abnormal foveal pit on macular OCT	
Intraretinal hyporeflective spaces on macular OCT	
Subretinal hyporeflective spaces on macular OCT	
Hyporeflective spaces on macular OCT	
Foveal intraretinal hyporeflective spaces on macular OCT	
Foveal hyporeflective spaces on macular OCT	
Foveal subretinal hyporeflective spaces on macular OCT	
Perifoveal ring of hyperautofluorescence	
Irregular central macular autofluorescence	
Hyperautofluorescent macular lesion	
Hypoautofluorescent macular lesion	Hypo-autofluorescent macular lesion
Perifoveal ring of hyperautofluorescence surrounded by normal autofluorescence	
Perifoveal ring of hyperautofluorescence surrounded by abnormal autofluorescence	
Retinal dystrophy with early macular involvement	
Occult macular dystrophy	
Congenital stationary cone dysfunction	Cone dysfunction, Cone dysfunction syndrome
Congenital stationary night blindness with normal fundus	
Congenital stationary night blindness with abnormal fundus	
Complete congenital stationary night blindness	
Incomplete congenital stationary night blindness	
Fundus albipunctatus	
Vitelliform-like retinal lesions	
Blind-spot enlargment	Blind spot enlargment
Central	
Peripheral	
Paracentral	
Midperipheral	Mid-peripheral
Pericentral	
Focal	
Multifocal	
Vitreous haze	
Umbilical cord cyst	
Umbilical cord knot	
Umbilical vein varix	
Umbilical cord hematoma	Umbilical cord haematoma
Marginal umbilical cord insertion	Marginal cord insertion
Velamentous cord insertion	
Furcate cord insertion	
Vitreous snowballs	
Vitreous inflammatory cells	
Optically empty vitreous	
Beevor's sign	
Rubral tremor	Holmes' tremor
Retinal neovascularization	Retinal neovascularisation
Peripheral retinal neovascularization	
Periorbital dermoid cyst	
Abnormal ocular adnexa morphology	
Hamartoma of the orbital region	
Abnormal common tendinous ring morphology	Abnormality of the common tendinous ring
Asteroid hyalosis	
Erosive vitreoretinopathy	
Antenatal onset	
Contracture of proximal interphalangeal joints of 2nd-5th fingers	
Satyr ear	Devil ear
Mozart ear	
Ash-leaf spot	
Abnormality of cardiovascular system morphology	Cardiovascular malformations, Heart defect
Abnormal morphology of myocardial trabeculae	
Left ventricular noncompaction	
Vaginitis	Vulvovaginitis
Abnormal adiponectin level	
Decreased adiponectin level	
Increased adiponectin level	
Abnormal glucagon level	
Increased glucagon level	
Decreased glucagon level	
Gingival cleft	
Divergence nystagmus	A condition in which both eyes beat outward simultaneously.
Brain neoplasm	Brain tumor, Brain tumour
Supratentorial neoplasm	Pineal parenchymal tumor, Pineal parenchymal tumour
Pineal parenchymal cell neoplasm	
Ranula	Sublingual cyst, Sublingual ptyalocele
Unilateral lung agenesis	Unilateral pulmonary agenesis
Myeloschisis	
Myelocystocele	
Lipomeningocele	
Hydrocolpos	
Uterine synechiae	Asherman syndrome
Vein of Galen aneurysmal malformation	Median prosencephalic arteriovenous fistula, Vein of Galen aneurysm, Vein of Galen malformation
Subchorionic thrombohematoma	Breus' mole
Bronchial atresia	Congenital bronchial atresia
Acrania	
Meconium peritonitis	
Right atrial enlargement	Dilated right atrium, Enlarged heart right atrium, Right atrial dilatation
Unguarded tricuspid valve	Rudimentary tricuspid valve leaflets, Unguarded tricuspid valve orifice
Subchorionic septal cyst	
Tetraphocomelia	
Ectopic liver	
Congenital megalourethra	
Central nervous system cyst	Cyst of the central nervous system
Neurenteric cyst	
Spinal neurenteric cyst	
Intracranial neurenteric cyst	
Meromelia	
Frontoethmoidal meningocele	Frontoethmoid meningocele
Parietal meningocele	
Carcinoma	
Dysplastic tricuspid valve	Tricuspid valve dysplasia
Vesicoallantoic abdominal wall defect	
Ureterovesical junction obstruction	
Sacrococcygeal teratoma	
Altman type I sacrococcygeal teratoma	
Altman type II sacrococcygeal teratoma	
Altman type III sacrococcygeal teratoma	
Anomalous muscle bundle of the right ventricle	Right ventricular anomalous muscle bundle
Mediastinal teratoma	Teratoma of the mediastinum
Glial remnants posterior to lens	Mittendorf dot
Glial remnants anterior to the optic disc	Bergmeister papilla
Hyaloid vascular remnant and retrolental mass	
Dilatation of the ductus arteriosus	Congenital ductus arteriosus aneurysm, Ductus arteriosus aneurysm
Intraventricular hemorrhage	
Preterm intraventricular hemorrhage	
Grade I preterm intraventricular hemorrhage	Germinal matrix hemorrhage
Grade II preterm intraventricular hemorrhage	
Grade III preterm intraventricular hemorrhage	
Grade IV preterm intraventricular hemorrhage	
Dacryocystocele	Timo cyst
Intrauterine fetal demise of one twin after midgestation	Single-twin demise
Allantoic cyst	
Craniofacial teratoma	
Erythrodontia	Red teeth
Tooth abscess	Dental abscess, Dentoalveolar abscess
Periapical tooth abscess	
Adipocyte hypertrophy	Fat cell hypertrophy
Renal fibrosis	Kidney fibrosis
obsolete Renal glomerular fibrosis	
Mesangiolysis	
Amniotic Sheet	Amniotic shelf
Ochronosis	
Sleep terror	Night terror, Pavor nocturnus, Sleep terrors
Ear pain	Ear pain, Otalgia, Pain in the ear
Epignathus	
Exencephaly	
Craniorachischisis	
Mallet finger	
Proximal femoral focal deficiency	
Internuclear ophthalmoplegia	
Mitochondrial swelling	
Modic type vertebral endplate changes	
Modic type I vertebral endplate changes	Modic type 1 vertebral endplate changes
Modic type II vertebral endplate changes	Modic type 2 vertebral endplate changes
Modic type III vertebral endplate changes	Modic type 3 vertebral endplate changes
Ethmocephaly	
Abnormality of the protein C anticoagulant pathway	
Increased circulating free fatty acid level	
Abnormal serum interleukin level	
Increased serum interleukin-6	
Anomia	Amnesic aphasia, Amnestic aphasia, Anomic aphasia, Nominal aphasia
Mediastinal cystic lymphangioma	Intrathoracic cystic hygroma, Thoracic cystic lymphangioma
Photopsia	
Cerumen abnormality	
Impacted cerumen	
Excessive cerumen	
Abnormal cerumen color	Abnormal cerumen colour, Abnormal cerumen pigmentation
Abnormal jaw morphology	
Jaw neoplasm	
Jaw swelling	
Abnormal C-peptide level	Abnormal C peptide level
Reduced C-peptide level	Reduced C peptide level
Increased C-peptide level	Increased C peptide level
Reduced volume of central subdivision of bed nucleus of stria terminalis	
Abnormality of the bed nucleus of stria terminalis	
Scaphocephaly	
Abnormal visual accommodation	
Reduced visual accommodation	
Lower eyelid retraction	
Platonychia	
Trachyonychia	
Absent lunula	
Fast-growing nails	
Abnormal nail growth	
Ragged cuticle	
Abnormal tongue morphology	
Abnormal tongue physiology	
Tongue pain	Painful tongue
Enlarged tonsils	Enlargment of tonsils, Tonsillar hypertrophy, tonsils large/hypertrophy
Absent tonsils	Hypoplastic tonsils, Tonsillar hypoplasia
Orange discoloured tonsils	Orange coloured tonsils, Orange tonsils
Lipoma of the tongue	
Gingival recession	Gum recession, Receding gums
Beaked nails	
Central nail canal	Median nail dystrophy
Ski jump nail	Upslanting nail, Upward angulation of nail
Hooded eyelid	
Hooded lower eyelid	
Hooded upper eyelid	
Scleral thickening	Thick sclera
Mizuo phenomenon	Mizuo-Nakamura phenomenon
Absent foveal reflex	Foveal reflex absent, Loss of foveal reflex
Eyelid fasciculation	Eyelid fluttering, Fasciculation of the eyelid, Muscle twitches in eye lid, Muscle twitches in eyelid, Twitching around eyes
Wheezing	Wheezing
Abnormal breath sound	
Crackles	Crepitations, Rales
Rhonchi	
Vitreous strands	
Neck pain	Neck pain
Shoulder pain	Shoulder pain
Elbow pain	Elbow pain
Wrist pain	Wrist pain
Finger pain	Finger pain
Hip pain	Hip pain
Knee pain	Knee pain, Pain under knee cap
Ankle pain	Ankle pain
Toe pain	Toe pain
Choking episodes	
Cardiac amyloidosis	Amyloid cardiomyopathy
Undetectable pattern electroretinogram	
Heliotrope rash of eyelid	
Abnormality of venous physiology	
Abnormal jugular venous pressure	
Elevated jugular venous pressure	
Hepatojugular reflux	
Abnormal pulse pressure	
Low pulse pressure	
High pulse pressure	
Heterotaxy	Heterotaxia
Scleral staphyloma	Staphyloma
Anterior staphyloma	
Posterior staphyloma	
Eye movement-induced pain	
Addictive behavior	
Topoisomerase I antibody positivity	Top1 antibody positivity, Topoisomerase (DNA) I antibody positivity
Abnormal CSF amyloid level	Abnormal CSF A[beta]42 level
Decreased CSF amyloid level	
Elevated CSF amyloid level	
Nasal flaring	
Intercostal retractions	Chest retractions
Large elbow	
Large knee	
Vertical orbital dystopia	Eyes at different heights, Misaligned eyes, Unequal eye height
Monorchism	Monorchidism
Anorchism	
Abnormality of spinal facet joint	Abnormality of apophyseal joint, Abnormality of Z-joint, Abnormality of zygapophyseal joint, Abnormality of zygapophysial joint
Facet joint arthrosis	Facet arthritis
Abnormal cardiac ventricular function	
Anticentromere antibody positivity	ACA positivity, Anti-centromere antibody positivity
Oxygen desaturation on exertion	
Abnormality of pulmonary circulation	Abnormal pulmonary circulation, Abnormality of respiratory circulation
Increased pulmonary capillary wedge pressure	Increased pulmonary arterial wedge pressure, Increased pulmonary artery occlusion pressure
Obstructive deficit on pulmonary function testing	Obstructive deficit on pulmonary function test
Abnormality on pulmonary function testing	Abnormal pulmonary function test
Interlobular septal thickening on pulmonary HRCT	
Raynaud phenomenon	Raynaud disease, Raynaud's phenomenon
Shoulder impingement	
Coronary artery aneurysm	Coronary arterial dilatation, Coronary artery dilatation, Coronary artery ectasia
Femoroacetabular Impingement	Femoral acetabular impingement
Gastrojejunal tube feeding in infancy	Gastro-jejunal tube feeding in infancy
Recurrent parasitic infections	
Abnormal lymphocyte apoptosis	
Increased lymphocyte apoptosis	
C3 nephritic factor positivity	
Congenital shortened small intestine	Short bowel
Hyperintensity of cerebral white matter on MRI	White matter hyperintensity
Periventricular white matter hyperdensities	Periventricular cerebral white matter hyperdensities, Periventricular white matter hyperintensities, PVWMH
Deep cerebral white matter hyperdensities	Deep white matter hyperintensities, DWMH
Abnormal response to short acting pulmonary vasodilator	
Insufficient response to short acting pulmonary vasodilator	
Abnormal gastrointestinal motility	
Abnormal gastrointestinal transit time	
Decreased intestinal transit time	
Pruritis on abdomen	
Pruritis on hand	
Pruritus on foot	Itchy feet, Itchy foot
Pruritis on breast	
Palmomental reflex	
Grasp reflex	Palmar grasp reflex
Glabellar reflex	Myerson's sign
Snout reflex	
Suck reflex	Persistent  nutritive  suckle  swallow
Thunderclap headache	
Liver kidney microsome type 1 antibody positivity	Anti-LKM-1 positive
Anti-liver cytosolic antigen type 1 antibody positivity	Anti-liver cytosol antibody-1 positivity
Bifid clitoris	
Duplicated clitoris	
Exaggerated rugosity of the labia majora	Scrotum-like labia majora
Abnormal peristalsis	
Cerebellar edema	Cerebellar oedema, Edema of the cerebellum, Oedema of the cerebellum
Low APGAR score	
Low 1-minute APGAR score	Low one-minute APGAR score
Low 5-minute APGAR score	Low five-minute APGAR score
5-minute APGAR score of 0	
5-minute APGAR score of 1	
5-minute APGAR score of 2	
5-minute APGAR score of 3	
5-minute APGAR score of 4	
5-minute APGAR score of 5	
5-minute APGAR score of 6	
1-minute APGAR score of 0	
1-minute APGAR score of 1	
1-minute APGAR score of 2	
1-minute APGAR score of 3	
1-minute APGAR score of 4	
1-minute APGAR score of 5	
1-minute APGAR score of 6	
Oral erythroplakia	Oral erythroplasia
Abnormality of intestinal smooth muscle morphology	
Abnormal layering of muscularis propria	Muscularis propria malformation, Segmental additional circular muscle coat
Fibrotic muscularis propria	
Enteric intraneuronal nuclear inclusion bodies	
Palpebral thickening	Thickened but nonswollen eyelids
Vulvodynia	Vulvar pain
Conjunctival papillae	
Conjunctival follicles	
Elevated gamma-glutamyltransferase activity	
Glomerular deposits	
Pulmonary venous hypertension	
Skeletal muscle fibrosis	
Birdshot choroidal lesions	
Conjunctival hyperemia	Conjunctival hyperaemia, Conjunctival injection, Conjunctival vascular congestion
Alcoholism	
Abnormality of cardiovascular system electrophysiology	
Ventricular septal aneurysm	Ventricular septal dilatation
Membranous ventricular septal aneurysm	Aneurysm of the membranous ventricular septum, Interventricular septum membranous part aneurysm
Muscular ventricular septal aneurysm	Aneurysm of the muscular ventricular septum
obsolete Abnormal pupillary morphology	
Microspherophakia	
Abnormal morphology of the great vessels	
obsolete Abnormal aortic morphology	
Abnormal aortic physiology	
Aortic stiffness	Increased aortic stiffness
Abnormal pulmonary artery morphology	
Abnormal pulmonary artery physiology	
Abnormal pulmonary vein morphology	
Abnormal pulmonary vein physiology	
Abnormal vena cava physiology	
obsolete Abnormal vena cava morphology	
Abnormal systemic blood pressure	
Postexertional malaise	Exercise-induced fatigue, Exercise-induced malaise, Postexertional fatigue
Cryptozoospermia	Cryptospermia
Pontine tegmental cap	Vaulted pontine tegmentum
Abnormal factor VIII activity	
Increased factor VIII activity	
Decreased CSF/serum albumin ratio	
Dilatation of large choroidal vessels	Dilated choroidal vessels
Reduced brain glutamine level by MRS	
Abnormal CSF/serum albumin ratio	
Ovarian thecoma	
Abnormal serum bile acid concentration	
Decreased serum bile concentration	
Biliary epithelial hyperplasia	
Suppurative cholangitis	
Granulomatous cholangitis	
Lymphoid cholangitis	
Pleomorphic cholangitis	
Sclerosing cholangitis	Fibrous cholangitis
